AssociationCaCode,ScientificName,Provisional,ClassifLevel,DateAddedToMCV
33.027.02,Larrea tridentata – Encelia farinosa – Bebbia juncea,,Association,
33.027.03,Larrea tridentata – Encelia farinosa – Ambrosia dumosa,,Association,
33.027.04,Larrea tridentata – Encelia farinosa – Fouquieria splendens,,Association,
33.027.05,Larrea tridentata – Encelia farinosa,,Association,
33.027.06,Larrea tridentata – Encelia farinosa – Peucephyllum schottii,Provisional,Association,
33.027.07,Larrea tridentata – Encelia farinosa – Pleurocoronis pluriseta,Provisional,Association,
33.030.01,Encelia farinosa,,Association,
33.030.02,Encelia farinosa – Peucephyllum schottii,,Association,
33.030.03,Encelia farinosa – Eriogonum fasciculatum – Agave deserti,,Association,
33.030.04,Encelia farinosa – Artemisia californica,,Association,
33.030.05,Encelia farinosa,,Association,
33.030.06,Encelia farinosa – Mirabilis laevis,,Association,
33.030.07,Encelia farinosa – Ambrosia dumosa – Fouquieria splendens,,Association,
33.030.08,Encelia farinosa – Ambrosia dumosa – Salvia greatae,,Association,
33.030.09,Encelia farinosa – Ambrosia dumosa – Senna armata,,Association,
33.032.01,Viguiera parishii – Agave deserti,,Association,
33.032.02,Viguiera parishii – Eriogonum fasciculatum,,Association,
33.032.03,Viguiera parishii,,Association,
33.032.04,Viguiera parishii – Encelia farinosa,,Association,
33.032.05,Viguiera parishii – Salvia dorrii,,Association,
33.032.06,Eriogonum fasciculatum rock outcrop,,Association,14-Feb-17
33.032.07,"Eriogonum fasciculatum – Ericameria (laricifolia, linearifolia)",,Association,14-Feb-17
33.032.08,Viguiera parishii – Eriogonum fasciculatum – Simmondsia chinensis,,Association,15-Feb-17
33.033.01,Viguiera reticulata,,Association,
33.040.01,Senegalia greggii Wash,,Association,
33.040.02,Senegalia greggii – annual herbs (Bromus rubens),,Association,
33.040.03,Acacia greggii – Hyptis emoryi,,Association,
33.040.05,Senegalia greggii – Ambrosia salsola,,Association,
33.040.06,Senegalia greggii – Viguiera parishii,,Association,
33.040.07,Senegalia greggii – Prunus fasciculata,,Association,
33.040.08,Acacia greggii – Ambrosia eriocentra,,Association,
33.040.09,Acacia greggii – Salvia dorrii,,Association,
33.040.10,Acacia greggii – Bebbia juncea,,Association,
33.040.11,Senegalia greggii / Eriogonum davidsonii,,Association,
33.040.12,Senegalia greggii – Encelia virginensis,,Association,
33.040.13,Senegalia greggii – Eriogonum fasciculatum,,Association,
33.045.01,Senegalia greggii – (Ambrosia eriocentra – Salvia dorrii),,Association,02-Feb-17
33.045.02,Senegalia greggii – (Bebbia juncea – Hyptis emoryi),,Association,14-Feb-17
33.050.01,Cylindropuntia bigelovii,,Association,
33.055.01,Cylindropuntia acanthocarpa var. coloradensis,,Association,14-Feb-17
33.055.02,Pleuraphis rigida / (Acamptopappus sphaerocephalus – Ericameria cooperi),,Association,14-Feb-17
33.055.03,Ericameria cooperi disturbance,Provisional,Association,21-Mar-17
33.060.01,Ambrosia dumosa – Acamptopappus sphaerocephalus,,Association,
33.060.02,Ambrosia dumosa,,Association,
33.060.03,Ambrosia dumosa – Atriplex hymenelytra,,Association,
33.060.04,Ambrosia dumosa / Pleuraphis rigida,,Association,
33.060.06,Encelia farinosa – Ambrosia dumosa,,Association,
33.060.07,Ambrosia dumosa – Ephedra californica / sandy,,Association,
33.060.09,Ambrosia dumosa – Olneya tesota – Calliandra eriophylla,,Association,
33.070.01,Yucca schidigera,,Association,
33.070.02,Yucca schidigera – Ephedra nevadensis,,Association,
33.070.03,Yucca schidigera – Ambrosia dumosa,,Association,
33.070.04,Yucca schidigera – Coleogyne ramosissima,,Association,
33.070.05,Yucca schidigera – Larrea tridentata – Ambrosia dumosa,,Association,
33.070.06,Yucca schidigera – Larrea tridentata – Ephedra nevadensis,,Association,
33.070.07,Yucca schidigera – Eriogonum fasciculatum,,Association,
33.070.08,Yucca schidigera – Cylindropuntia acanthocarpa,,Association,
